voltage_mV
2490
2535
2395
1268
809
714
784
567
625
593
631
529
0
2510
2490
2535
2395
1268
809
714
784
567
625
593
631
529
637
612
612
625
586
599
160
160
172
166
166
166
172
172
160
172
172
166
172
166
160
172
166
166
179
166
172
179
179
172
179
172
172
172
166
179
160
179
166
166
179
166
172
172
172
179
172
166
179
172
172
179
179
179
179
172
179
179
185
179
166
179
179
179
179
4987
172
179
172
179
179
172
179
185
185
179
185
192
192
185
7
7
13
7
7
7
7
26
20
20
13
26
20
7
20
13
13
7
7
7
7
7
7
7
7
7
13
7
7
7
7
7
7
7
13
13
7
7
7
90
13
7
7
7
7
13
7
7
7
13
7
13
7
7
7
13
7
7
7
7
13
7
7
7
7
7
7
13
13
20
7
13
1115
580
13
7
13
13
20
7
13
13
7
332
363
504
472
306
338
306
211
198
223
383
402
395
427
395
421
434
440
484
402
491
605
612
440
548
421
478
459
472
790
968
1300
1491
2032
2172
2198
2204
2159
1968
2019
2070
2077
2045
2108
2108
1917
1516
1567
1599
1631
1529
1675
1733
1854
2019
2064
2038
2242
2268
2242
2293
2299
2293
2325
2331
2350
2223
2287
2325
2331
2350
2325
2083
2045
2115
2089
2102
2115
2121
2102
2121
2140
2268
2299
2280
2319
2325
2344
2268
2261
2274
2299
2325
2389
2382
2382
2382
2395
2414
2420
2433
2414
2446
2490
2567
2567
2560
2541
2541
2707
2783
2783
2815
2841
2873
2860
2809
2847
2873
2955
3134
3236
3293
3337
3344
3357
3376
3395
3388
3414
3401
3401
3420
3452
3465
3484
3490
3503
3490
3490
3497
3528
3522
3522
3528
3535
3541
3541
3560
3579
3567
3599
3599
3611
3675
3694
3694
3726
3758
3758
3796
3885
3898
3911
3936
3955
3968
4019
4038
4044
4063
4063
4082
4076
4063
4070
4102
4089
4095
4114
4133
4140
4159
4172
4191
4191
4216
4210
4235
4242
4235
4229
4267
4331
4375
4426
4433
4458
4477
4490
4535
4547
4579
4566
4579
4592
4592
4598
4611
4605
4617
4617
4592
4598
4611
4617
4624
4624
4637
4611
4624
4617
4624
4681
4675
4681
4681
4700
4707
4719
4719
4719
4719
4732
4751
4758
4758
4770
4758
4777
4777
4783
4783
4789
4770
4789
4783
4764
4751
4758
4732
4764
4764
4764
4770
4758
4770
4789
4802
4777
4789
4751
4738
4777
4777
4802
4808
4802
4738
4770
4751
4783
4789
4796
4834
4815
4808
4815
4821
4808
4764
4770
4796
4789
4783
4783
4847
4987
4758
4789
4828
4828
4859
4815
4821
4783
4796
4745
4611
4541
4573
4554
4452
4465
2363
1121
7
13
13
20
20
7
20
7
7
7
13
13
7
13
13
7
20
13
20
13
13
13
20
13
7
20
20
13
7
7
13
13
7
13
13
13
7
20
13
13
7
13
7
13
13
13
13
7
7
13
20
13
7
7
13
13
13
13
13
7
7
7
7
13
7
13
13
7
13
7
13
13
13
7
13
13
7
7
7
7
1019
1580
1593
1612
1484
7
7
7
7
13
13
7
13
7
13
7
7
13
13
13
13
7
13
7
7
7
351
1217
1401
1370
1274
497
395
376
383
370
370
383
383
357
325
363
351
383
389
389
402
395
402
363
351
484
943
1102
1134
1064
427
370
370
376
383
414
434
491
828
1083
1166
1191
1140
1077
1039
886
459
446
440
440
580
618
835
886
930
905
968
1058
1089
1121
1153
1166
1179
1191
1230
1230
1217
1249
1242
1230
1249
1249
1249
1300
1325
1382
1376
1370
1370
1427
1440
1542
1542
1548
1567
1542
1535
1535
1554
1567
1580
1631
1643
1631
1624
1631
1612
1605
1624
1637
1643
1656
1637
1650
1624
1631
1637
1605
1618
1605
1580
1573
1554
1548
1554
1554
1548
1542
1593
1548
1554
1561
1542
1542
1542
1548
1529
1561
1554
1586
1548
1561
1542
1612
1599
1586
1593
1605
1554
1522
1459
1535
1694
2242
2395
2497
2548
2548
2548
2548
2548
2541
2554
2567
2567
2567
2497
2484
2503
2529
2541
2554
2497
2541
2541
2567
2573
2567
2573
2592
2605
2611
2650
2656
2662
2662
2656
2669
2694
2713
2713
2739
2745
2758
2764
2796
2796
2815
2943
3013
3051
3070
3076
3102
3134
3153
3165
3172
3191
3204
3204
3210
3223
3223
3236
3248
3299
3312
3350
3446
3528
3560
3586
3592
3624
3649
3669
3726
3720
3745
3764
3783
3802
3860
3872
3885
3879
3949
3930
3911
3885
3898
3898
3694
3618
3115
3669
3802
3834
3840
3872
3885
3891
3911
3911
3917
3930
3930
3923
3936
3936
3949
3930
3936
3936
3930
3930
3930
3911
3942
3949
3942
3942
3936
3936
3936
3942
3961
3942
3968
3968
3981
3942
3987
3847
3796
3726
3809
3891
3917
3930
3942
3923
3911
3936
3930
3891
3860
3840
3866
3911
4038
3834
3681
4044
1147
13
26
293
20
20
1051
2465
3312
3681
3751
3777
3783
4197
4535
4662
4783
4821
4834
4770
4770
4770
4554
4426
4395
4426
4426
4420
4382
4006
3949
3961
4044
4095
4140
4133
4203
4216
4248
4274
4331
4344
4382
4452
4465
4522
4554
4566
4560
4560
4566
4573
4566
4573
4598
4630
4681
4745
4764
4758
4751
4783
4719
4662
4700
4738
4777
4770
4777
4764
4764
4770
4764
4770
4777
4758
4758
4770
4777
4770
4777
4777
4764
4777
4738
4726
